Date,Price,Open,High,Low,Vol.,Change %
2021-01-13,1843.41,"1,856.19","1,863.26","1,843.34",,-0.66%
2021-01-14,1846.37,"1,843.94","1,857.59","1,833.21",,0.16%
2021-01-15,1826.59,"1,846.80","1,856.85","1,823.21",,-1.07%
2021-01-18,1836.89,"1,828.94","1,840.95","1,810.46",,0.56%
2021-01-19,1839.34,"1,838.09","1,845.98","1,833.06",,0.13%
2021-01-20,1870.91,"1,840.05","1,872.03","1,832.46",,1.72%
2021-01-21,1869.91,"1,871.07","1,875.45","1,858.16",,-0.05%
2021-01-22,1852.55,"1,870.09","1,871.17","1,837.09",,-0.93%
2021-01-25,1854.99,"1,855.75","1,868.45","1,847.30",,0.13%
2021-01-26,1850.31,"1,855.55","1,861.86","1,848.36",,-0.25%
2021-01-27,1843.99,"1,850.65","1,853.58","1,831.29",,-0.34%
2021-01-28,1840.36,"1,844.34","1,864.26","1,833.81",,-0.20%
2021-01-29,1846.09,"1,840.90","1,876.03","1,839.56",,0.31%
2021-02-01,1860.16,"1,863.05","1,871.84","1,849.04",,0.76%
2021-02-02,1837.35,"1,860.84","1,864.26","1,829.46",,-1.23%
2021-02-03,1833.76,"1,837.49","1,845.29","1,829.49",,-0.20%
2021-02-04,1792.26,"1,834.34","1,835.13","1,785.15",,-2.26%
2021-02-05,1811.62,"1,792.49","1,815.32","1,791.80",,1.08%
2021-02-08,1830.16,"1,815.44","1,839.15","1,807.48",,1.02%
2021-02-09,1837.06,"1,830.59","1,849.15","1,828.63",,0.38%
2021-02-10,1842.22,"1,837.55","1,855.70","1,833.91",,0.28%
2021-02-11,1825.36,"1,842.65","1,847.95","1,820.63",,-0.91%
2021-02-12,1823.46,"1,825.90","1,830.80","1,810.33",,-0.10%
2021-02-15,1818.51,"1,825.34","1,827.59","1,815.71",,-0.27%
2021-02-16,1794.31,"1,819.34","1,826.75","1,789.19",,-1.33%
2021-02-17,1776.26,"1,794.65","1,795.45","1,769.27",,-1.01%
2021-02-18,1775.49,"1,776.69","1,789.88","1,767.98",,-0.04%
2021-02-19,1782.31,"1,776.19","1,791.70","1,760.13",,0.38%
2021-02-22,1808.66,"1,782.24","1,812.76","1,780.46",,1.48%
2021-02-23,1805.06,"1,809.09","1,816.27","1,795.78",,-0.20%
2021-02-24,1804.36,"1,805.34","1,813.99","1,783.30",,-0.04%
2021-02-25,1769.88,"1,804.80","1,806.06","1,765.44",,-1.91%
2021-02-26,1733.49,"1,770.49","1,776.10","1,717.26",,-2.06%
2021-03-01,1723.84,"1,733.40","1,760.02","1,719.52",,-0.56%
2021-03-02,1738.09,"1,724.10","1,738.89","1,707.18",,0.83%
2021-03-03,1710.95,"1,738.59","1,740.85","1,701.94",,-1.56%
2021-03-04,1697.19,"1,711.84","1,723.34","1,690.64",,-0.80%
2021-03-05,1700.86,"1,698.59","1,707.76","1,687.12",,0.22%
2021-03-08,1681.24,"1,702.80","1,714.45","1,676.70",,-1.15%
2021-03-09,1715.36,"1,682.55","1,720.83","1,679.80",,2.03%
2021-03-10,1726.05,"1,715.94","1,726.76","1,707.99",,0.62%
2021-03-11,1721.41,"1,726.55","1,739.99","1,719.38",,-0.27%
2021-03-12,1726.41,"1,721.59","1,728.42","1,698.85",,0.29%
2021-03-15,1731.84,"1,727.74","1,734.99","1,721.31",,0.31%
2021-03-16,1730.94,"1,730.57","1,741.40","1,725.80",,-0.05%
2021-03-17,1744.44,"1,730.61","1,751.81","1,724.14",,0.78%
2021-03-18,1736.41,"1,745.09","1,755.59","1,719.05",,-0.46%
2021-03-19,1744.74,"1,735.90","1,746.88","1,728.04",,0.48%
2021-03-22,1738.69,"1,745.74","1,747.18","1,727.40",,-0.35%
2021-03-23,1727.11,"1,739.05","1,742.85","1,724.42",,-0.67%
2021-03-24,1734.19,"1,727.80","1,738.56","1,723.85",,0.41%
2021-03-25,1726.82,"1,735.65","1,745.95","1,721.84",,-0.42%
2021-03-26,1731.97,"1,727.30","1,737.01","1,721.23",,0.30%
2021-03-29,1711.99,"1,732.15","1,733.34","1,705.58",,-1.15%
2021-03-30,1684.8,"1,712.55","1,714.74","1,678.85",,-1.59%
2021-03-31,1707.01,"1,685.59","1,715.28","1,677.93",,1.32%
2021-04-01,1730.18,"1,708.09","1,730.80","1,705.42",,1.36%
2021-04-02,1728.84,"1,730.47","1,732.55","1,728.67",,-0.08%
2021-04-05,1728.44,"1,728.74","1,733.75","1,721.22",,-0.02%
2021-04-06,1743.57,"1,728.49","1,745.68","1,726.82",,0.88%
2021-04-07,1737.28,"1,742.96","1,744.57","1,730.13",,-0.36%
2021-04-08,1755.94,"1,737.84","1,759.13","1,732.99",,1.07%
2021-04-09,1743.1,"1,756.54","1,757.47","1,731.09",,-0.73%
2021-04-12,1732.51,"1,743.80","1,745.36","1,727.18",,-0.61%
2021-04-13,1743.83,"1,732.59","1,749.23","1,723.27",,0.65%
2021-04-14,1736.0,"1,744.30","1,749.58","1,732.13",,-0.45%
2021-04-15,1763.21,"1,737.10","1,769.91","1,734.10",,1.57%
2021-04-16,1776.31,"1,763.84","1,784.07","1,759.79",,0.74%
2021-04-19,1769.31,"1,779.50","1,790.54","1,765.98",,-0.39%
2021-04-20,1777.25,"1,770.30","1,780.77","1,763.18",,0.45%
2021-04-21,1793.46,"1,778.64","1,797.98","1,775.95",,0.91%
2021-04-22,1783.94,"1,794.15","1,798.29","1,776.83",,-0.53%
2021-04-23,1777.18,"1,784.33","1,796.06","1,770.05",,-0.38%
2021-04-26,1780.19,"1,776.34","1,783.69","1,768.70",,0.17%
2021-04-27,1776.69,"1,780.42","1,785.90","1,773.52",,-0.20%
2021-04-28,1781.32,"1,776.80","1,782.85","1,762.56",,0.26%
2021-04-29,1771.24,"1,780.90","1,790.43","1,756.19",,-0.57%
2021-04-30,1768.59,"1,772.90","1,773.98","1,763.73",,-0.15%
2021-05-03,1792.36,"1,768.49","1,798.22","1,765.91",,1.34%
2021-05-04,1778.48,"1,792.29","1,799.38","1,770.84",,-0.77%
2021-05-05,1786.44,"1,778.91","1,788.35","1,769.95",,0.45%
2021-05-06,1815.18,"1,787.09","1,818.21","1,781.67",,1.61%
2021-05-07,1830.48,"1,815.48","1,843.45","1,812.90",,0.84%
2021-05-10,1835.44,"1,833.24","1,845.53","1,830.09",,0.27%
2021-05-11,1836.94,"1,834.58","1,842.32","1,817.68",,0.08%
2021-05-12,1815.44,"1,837.40","1,843.69","1,813.00",,-1.17%
2021-05-13,1826.57,"1,815.90","1,828.81","1,808.78",,0.61%
